ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,LoanAmount_log,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_ID
5849,0.0,128.0,360.0,1.0,1,4.852030263919617,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001002
4583,1508.0,128.0,360.0,1.0,0,4.852030263919617,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001003
3000,0.0,66.0,360.0,1.0,1,4.189654742026425,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,LP001005
2583,2358.0,120.0,360.0,1.0,1,4.787491742782046,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001006
6000,0.0,141.0,360.0,1.0,1,4.948759890378168,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001008
5417,4196.0,267.0,360.0,1.0,1,5.58724865840025,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,LP001011
2333,1516.0,95.0,360.0,1.0,1,4.553876891600541,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001013
3036,2504.0,158.0,360.0,0.0,0,5.062595033026967,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001014
4006,1526.0,168.0,360.0,1.0,1,5.123963979403259,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001018
12841,10968.0,349.0,360.0,1.0,0,5.855071922202427,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001020
3200,700.0,70.0,360.0,1.0,1,4.248495242049359,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001024
2500,1840.0,109.0,360.0,1.0,1,4.6913478822291435,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001027
3073,8106.0,200.0,360.0,1.0,1,5.298317366548036,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001028
1853,2840.0,114.0,360.0,1.0,0,4.736198448394496,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001029
1299,1086.0,17.0,120.0,1.0,1,2.833213344056216,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001030
4950,0.0,125.0,360.0,1.0,1,4.8283137373023015,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001032
3596,0.0,100.0,240.0,1.0,1,4.605170185988092,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,LP001034
3510,0.0,76.0,360.0,0.0,0,4.330733340286331,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001036
4887,0.0,133.0,360.0,1.0,0,4.890349128221754,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001038
2600,3500.0,115.0,360.0,1.0,1,4.74493212836325,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001041
7660,0.0,104.0,360.0,0.0,0,4.6443908991413725,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001043
5955,5625.0,315.0,360.0,1.0,1,5.752572638825633,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001046
2600,1911.0,116.0,360.0,0.0,0,4.7535901911063645,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001047
3365,1917.0,112.0,360.0,0.0,0,4.718498871295094,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,LP001050
3717,2925.0,151.0,360.0,1.0,0,5.017279836814924,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001052
9560,0.0,191.0,360.0,1.0,1,5.25227342804663,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,LP001066
2799,2253.0,122.0,360.0,1.0,1,4.804021044733257,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001068
4226,1040.0,110.0,360.0,1.0,1,4.700480365792417,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001073
1442,0.0,35.0,360.0,1.0,0,3.5553480614894135,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,LP001086
3750,2083.0,120.0,360.0,1.0,1,4.787491742782046,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,LP001087
4166,3369.0,201.0,360.0,1.0,0,5.303304908059076,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001091
3167,0.0,74.0,360.0,1.0,0,4.30406509320417,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001095
4692,0.0,106.0,360.0,1.0,0,4.663439094112067,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,LP001097
3500,1667.0,114.0,360.0,1.0,1,4.736198448394496,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001098
12500,3000.0,320.0,360.0,1.0,0,5.768320995793772,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,LP001100
2275,2067.0,128.0,360.0,1.0,1,4.852030263919617,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001106
1828,1330.0,100.0,360.0,0.0,0,4.605170185988092,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001109
3667,1459.0,144.0,360.0,1.0,1,4.969813299576001,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001112
4166,7210.0,184.0,360.0,1.0,1,5.214935757608986,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001114
3748,1668.0,110.0,360.0,1.0,1,4.700480365792417,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,LP001116
3600,0.0,80.0,360.0,1.0,0,4.382026634673881,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001119
1800,1213.0,47.0,360.0,1.0,1,3.8501476017100584,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001120
2400,0.0,75.0,360.0,1.0,1,4.31748811353631,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001123
3941,2336.0,134.0,360.0,1.0,1,4.897839799950911,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001131
4695,0.0,96.0,360.0,1.0,1,4.564348191467836,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,LP001136
3410,0.0,88.0,360.0,1.0,1,4.477336814478207,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001137
5649,0.0,44.0,360.0,1.0,1,3.784189633918261,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001138
5821,0.0,144.0,360.0,1.0,1,4.969813299576001,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001144
2645,3440.0,120.0,360.0,0.0,0,4.787491742782046,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001146
4000,2275.0,144.0,360.0,1.0,1,4.969813299576001,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001151
1928,1644.0,100.0,360.0,1.0,1,4.605170185988092,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001155
3086,0.0,120.0,360.0,1.0,1,4.787491742782046,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001157
4230,0.0,112.0,360.0,1.0,0,4.718498871295094,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001164
4616,0.0,134.0,360.0,1.0,0,4.897839799950911,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001179
11500,0.0,286.0,360.0,0.0,0,5.655991810819852,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,LP001186
2708,1167.0,97.0,360.0,1.0,1,4.574710978503383,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001194
2132,1591.0,96.0,360.0,1.0,1,4.564348191467836,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001195
3366,2200.0,135.0,360.0,1.0,0,4.90527477843843,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001197
8080,2250.0,180.0,360.0,1.0,1,5.19295685089021,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001198
3357,2859.0,144.0,360.0,1.0,1,4.969813299576001,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001199
2500,3796.0,120.0,360.0,1.0,1,4.787491742782046,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001205
3029,0.0,99.0,360.0,1.0,1,4.59511985013459,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,LP001206
2609,3449.0,165.0,180.0,0.0,0,5.10594547390058,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,LP001207
4945,0.0,128.0,360.0,0.0,0,4.852030263919617,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001213
4166,0.0,116.0,360.0,0.0,0,4.7535901911063645,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001222
5726,4595.0,258.0,360.0,1.0,0,5.552959584921617,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001225
3200,2254.0,126.0,180.0,0.0,0,4.836281906951478,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,LP001228
10750,0.0,312.0,360.0,1.0,1,5.7430031878094825,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001233
7100,0.0,125.0,60.0,1.0,1,4.8283137373023015,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,LP001238
4300,0.0,136.0,360.0,0.0,0,4.912654885736052,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001241
3208,3066.0,172.0,360.0,1.0,1,5.147494476813453,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001243
1875,1875.0,97.0,360.0,1.0,1,4.574710978503383,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,LP001245
3500,0.0,81.0,300.0,1.0,1,4.394449154672439,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001248
4755,0.0,95.0,360.0,0.0,0,4.553876891600541,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,LP001250
5266,1774.0,187.0,360.0,1.0,1,5.231108616854587,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,LP001253
3750,0.0,113.0,480.0,1.0,0,4.727387818712341,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001255
3750,4750.0,176.0,360.0,1.0,0,5.170483995038151,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001256
1000,3022.0,110.0,360.0,1.0,0,4.700480365792417,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,LP001259
3167,4000.0,180.0,300.0,0.0,0,5.19295685089021,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001263
3333,2166.0,130.0,360.0,1.0,1,4.867534450455582,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,LP001264
3846,0.0,111.0,360.0,1.0,1,4.709530201312334,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001265
2395,0.0,128.0,360.0,1.0,1,4.852030263919617,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,LP001266
1378,1881.0,167.0,360.0,1.0,0,5.117993812416755,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001267
6000,2250.0,265.0,360.0,1.0,0,5.579729825986222,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001273
3988,0.0,50.0,240.0,1.0,1,3.912023005428146,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001275
2366,2531.0,136.0,360.0,1.0,1,4.912654885736052,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001279
3333,2000.0,99.0,360.0,1.0,1,4.59511985013459,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,LP001280
2500,2118.0,104.0,360.0,1.0,1,4.6443908991413725,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001282
8566,0.0,210.0,360.0,1.0,1,5.3471075307174685,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001289
5695,4167.0,175.0,360.0,1.0,1,5.1647859739235145,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001310
2958,2900.0,131.0,360.0,1.0,1,4.875197323201151,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001316
6250,5654.0,188.0,180.0,1.0,1,5.236441962829949,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001318
3273,1820.0,81.0,360.0,1.0,1,4.394449154672439,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001319
4133,0.0,122.0,360.0,1.0,1,4.804021044733257,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001322
3620,0.0,25.0,120.0,1.0,1,3.2188758248682006,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,LP001325
6782,0.0,128.0,360.0,1.0,0,4.852030263919617,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001326
2484,2302.0,137.0,360.0,1.0,1,4.919980925828125,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001327
1977,997.0,50.0,360.0,1.0,1,3.912023005428146,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001333
4188,0.0,115.0,180.0,1.0,1,4.74493212836325,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001334
1759,3541.0,131.0,360.0,1.0,1,4.875197323201151,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001343
4288,3263.0,133.0,180.0,1.0,1,4.890349128221754,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,LP001345
4843,3806.0,151.0,360.0,1.0,1,5.017279836814924,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001349
13650,0.0,128.0,360.0,1.0,1,4.852030263919617,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001350
4652,3583.0,128.0,360.0,1.0,1,4.852030263919617,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001356
3816,754.0,160.0,360.0,1.0,1,5.075173815233827,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001357
3052,1030.0,100.0,360.0,1.0,1,4.605170185988092,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001367
11417,1126.0,225.0,360.0,1.0,1,5.41610040220442,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001369
7333,0.0,120.0,360.0,1.0,0,4.787491742782046,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,LP001370
3800,3600.0,216.0,360.0,0.0,0,5.375278407684165,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001379
2071,754.0,94.0,480.0,1.0,1,4.543294782270004,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,LP001384
5316,0.0,136.0,360.0,1.0,1,4.912654885736052,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001385
2929,2333.0,139.0,360.0,1.0,1,4.9344739331306915,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001387
3572,4114.0,152.0,360.0,0.0,0,5.0238805208462765,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001391
7451,0.0,128.0,360.0,1.0,1,4.852030263919617,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,LP001392
5050,0.0,118.0,360.0,1.0,1,4.770684624465665,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001398
14583,0.0,185.0,180.0,1.0,1,5.220355825078324,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001401
3167,2283.0,154.0,360.0,1.0,1,5.0369526024136295,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001404
2214,1398.0,85.0,360.0,1.0,1,4.442651256490317,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001405
5568,2142.0,175.0,360.0,1.0,0,5.1647859739235145,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001421
10408,0.0,259.0,360.0,1.0,1,5.556828061699537,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001422
5667,2667.0,180.0,360.0,1.0,1,5.19295685089021,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001426
4166,0.0,44.0,360.0,1.0,1,3.784189633918261,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001430
2137,8980.0,137.0,360.0,0.0,1,4.919980925828125,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001431
2957,0.0,81.0,360.0,1.0,1,4.394449154672439,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001432
4300,2014.0,194.0,360.0,1.0,1,5.267858159063328,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001439
3692,0.0,93.0,360.0,1.0,1,4.532599493153256,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001443
23803,0.0,370.0,360.0,1.0,1,5.91350300563827,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,LP001448
3865,1640.0,128.0,360.0,1.0,1,4.852030263919617,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001449
10513,3850.0,160.0,180.0,0.0,0,5.075173815233827,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,LP001451
6080,2569.0,182.0,360.0,1.0,0,5.204006687076795,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001465
20166,0.0,650.0,480.0,1.0,1,6.476972362889683,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,LP001469
2014,1929.0,74.0,360.0,1.0,1,4.30406509320417,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001473
2718,0.0,70.0,360.0,1.0,1,4.248495242049359,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001478
3459,0.0,25.0,120.0,1.0,1,3.2188758248682006,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,LP001482
4895,0.0,102.0,360.0,1.0,1,4.624972813284271,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001487
4000,7750.0,290.0,360.0,1.0,0,5.66988092298052,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001488
4583,0.0,84.0,360.0,1.0,0,4.430816798843313,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001489
3316,3500.0,88.0,360.0,1.0,1,4.477336814478207,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,LP001491
14999,0.0,242.0,360.0,0.0,0,5.488937726156687,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001492
4200,1430.0,129.0,360.0,1.0,0,4.859812404361672,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,LP001493
5042,2083.0,185.0,360.0,1.0,0,5.220355825078324,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,LP001497
5417,0.0,168.0,360.0,1.0,1,5.123963979403259,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001498
6950,0.0,175.0,180.0,1.0,1,5.1647859739235145,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,LP001504
2698,2034.0,122.0,360.0,1.0,1,4.804021044733257,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001507
11757,0.0,187.0,180.0,1.0,1,5.231108616854587,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001508
2330,4486.0,100.0,360.0,1.0,1,4.605170185988092,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001514
14866,0.0,70.0,360.0,1.0,1,4.248495242049359,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,LP001516
1538,1425.0,30.0,360.0,1.0,1,3.4011973816621555,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001518
10000,1666.0,225.0,360.0,1.0,0,5.41610040220442,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001519
4860,830.0,125.0,360.0,1.0,1,4.8283137373023015,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001520
6277,0.0,118.0,360.0,0.0,0,4.770684624465665,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001528
2577,3750.0,152.0,360.0,1.0,1,5.0238805208462765,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,LP001529
9166,0.0,244.0,360.0,1.0,0,5.497168225293202,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001531
2281,0.0,113.0,360.0,1.0,0,4.727387818712341,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,LP001532
3254,0.0,50.0,360.0,1.0,1,3.912023005428146,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,LP001535
39999,0.0,600.0,180.0,0.0,1,6.396929655216146,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001536
6000,0.0,160.0,360.0,1.0,1,5.075173815233827,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,LP001541
9538,0.0,187.0,360.0,1.0,1,5.231108616854587,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001543
2980,2083.0,120.0,360.0,1.0,1,4.787491742782046,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001546
4583,5625.0,255.0,360.0,1.0,1,5.541263545158426,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001552
1863,1041.0,98.0,360.0,1.0,1,4.584967478670572,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,LP001560
7933,0.0,275.0,360.0,1.0,0,5.616771097666572,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001562
3089,1280.0,121.0,360.0,0.0,0,4.795790545596741,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001565
4167,1447.0,158.0,360.0,1.0,1,5.062595033026967,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,LP001570
9323,0.0,75.0,180.0,1.0,1,4.31748811353631,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,LP001572
3707,3166.0,182.0,360.0,1.0,1,5.204006687076795,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001574
4583,0.0,112.0,360.0,1.0,0,4.718498871295094,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001577
2439,3333.0,129.0,360.0,1.0,1,4.859812404361672,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001578
2237,0.0,63.0,480.0,0.0,0,4.143134726391533,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001579
8000,0.0,200.0,360.0,1.0,1,5.298317366548036,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,LP001580
1820,1769.0,95.0,360.0,1.0,1,4.553876891600541,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,LP001581
51763,0.0,700.0,300.0,1.0,1,6.551080335043404,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,LP001585
3522,0.0,81.0,180.0,1.0,0,4.394449154672439,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,LP001586
5708,5625.0,187.0,360.0,1.0,1,5.231108616854587,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001594
4344,736.0,87.0,360.0,1.0,0,4.465908118654584,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,LP001603
3497,1964.0,116.0,360.0,1.0,1,4.7535901911063645,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001606
2045,1619.0,101.0,360.0,1.0,1,4.61512051684126,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,LP001608
5516,11300.0,495.0,360.0,0.0,0,6.20455776256869,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,LP001610
3750,0.0,116.0,360.0,1.0,1,4.7535901911063645,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001616
2333,1451.0,102.0,480.0,0.0,0,4.624972813284271,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,LP001630
6400,7250.0,180.0,360.0,0.0,0,5.19295685089021,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,LP001633
1916,5063.0,67.0,360.0,1.0,0,4.204692619390966,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001634
4600,0.0,73.0,180.0,1.0,1,4.290459441148391,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001636
33846,0.0,260.0,360.0,1.0,0,5.560681631015528,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001637
3625,0.0,108.0,360.0,1.0,1,4.68213122712422,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001639
39147,4750.0,120.0,360.0,1.0,1,4.787491742782046,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,LP001640
2178,0.0,66.0,300.0,0.0,0,4.189654742026425,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,LP001641
2383,2138.0,58.0,360.0,1.0,1,4.060443010546419,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001643
674,5296.0,168.0,360.0,1.0,1,5.123963979403259,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,LP001644
9328,0.0,188.0,180.0,1.0,1,5.236441962829949,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,LP001647
4885,0.0,48.0,360.0,1.0,1,3.871201010907891,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,LP001653
12000,0.0,164.0,360.0,1.0,0,5.099866427824199,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001656
6033,0.0,160.0,360.0,1.0,0,5.075173815233827,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,LP001657
3858,0.0,76.0,360.0,1.0,1,4.330733340286331,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,LP001658
4191,0.0,120.0,360.0,1.0,1,4.787491742782046,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001664
3125,2583.0,170.0,360.0,1.0,0,5.135798437050262,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,LP001665
8333,3750.0,187.0,360.0,1.0,1,5.231108616854587,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,LP001666
1907,2365.0,120.0,360.0,1.0,1,4.787491742782046,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,LP001669
3416,2816.0,113.0,360.0,1.0,1,4.727387818712341,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,LP001671
11000,0.0,83.0,360.0,1.0,0,4.418840607796598,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,LP001673
2600,2500.0,90.0,360.0,1.0,1,4.499809670330265,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,LP001674
